variant,model,selected_gamma,selected_train_oof_mae,base_train_oof_mae,MAE,RMSE,R2,MedianAbsError,P90AbsError,P95AbsError,W30,W60,MeanError_pred_minus_actual,UnderestimationRate,OverestimationRate,N,gain_vs_base,gain_vs_base_CI95,MAE_CI95,delta_vs_31_794666,delta_vs_32_028831,meta_json
pls_hs_word160_22_basic,sgd_huber,1.4500000000000002,32.78494869711997,32.966712482938256,31.833138468559568,46.99055898494846,0.754743005123879,21.45071876736553,69.24283742813196,92.41751142410362,0.6146530468474815,0.8626276858048608,-2.018996561443235,0.47587178584008455,0.5241282141599155,2839,0.4064974061036788,"[0.2885291736143629, 0.5409231428473837]","[30.54860309186554, 33.038217078521285]",0.03847246855956854,-0.19569253144042875,"{""model"": ""sgd_huber"", ""residual_oof_mae"": 32.803238944035975}"
pls_raw_word160_30_geom,sgd_huber,1.175,32.770225331669394,32.966712482938256,31.83362644754459,46.9803717404603,0.7548493338075452,21.526799601911264,69.42815809548027,91.52007237195846,0.6192321239873195,0.8608665022895385,-1.6879335955610826,0.4727016555125044,0.5272983444874956,2839,0.4060094271186501,"[0.25297297382632394, 0.5317797584126859]","[30.636482492464996, 33.072864215637445]",0.03896044754458927,-0.19520455245540802,"{""model"": ""sgd_huber"", ""residual_oof_mae"": 32.77468936246575}"
pls_hs_word160_24_basic,sgd_huber,1.4000000000000001,32.79169933506673,32.966712482938256,31.834026726496152,46.99540027092699,0.7546924664437279,21.469183275736384,69.1907767462363,92.23827254537439,0.6153575202536105,0.8629799225079253,-2.0099203552701206,0.4755195491370201,0.5244804508629799,2839,0.4056091481670972,"[0.29628771769304646, 0.5350909676083674]","[30.541714000047477, 33.20440430109749]",0.03936072649615241,-0.19480427350384488,"{""model"": ""sgd_huber"", ""residual_oof_mae"": 32.80602234829879}"
pls_hs_word160_28_delta,sgd_huber,1.4000000000000001,32.83353463301145,32.966712482938256,31.8343709442877,47.05835912070466,0.7540347584437723,21.610764891112865,69.58354118207602,92.2087561835894,0.6178231771750616,0.8601620288834096,-2.057847945429942,0.4744628390278267,0.5255371609721733,2839,0.4052649303755416,"[0.27714485314836707, 0.5058569232973312]","[30.596853395772566, 33.04096094762196]",0.03970494428769911,-0.19446005571229819,"{""model"": ""sgd_huber"", ""residual_oof_mae"": 32.84419526099337}"
pls_hs_word160_26_basic,sgd_huber,1.375,32.792366779875906,32.966712482938256,31.834714053546865,46.990629940042034,0.7547422644539855,21.5757470986821,69.28188075313443,92.49716325485919,0.6139485734413526,0.8629799225079253,-1.8214540011178553,0.4723494188094399,0.5276505811905601,2839,0.40492182111637404,"[0.29793362776123605, 0.5257330093231052]","[30.61405962606149, 33.235117150907854]",0.04004805354686525,-0.19411694645313204,"{""model"": ""sgd_huber"", ""residual_oof_mae"": 32.80637573311948}"
pls_hs_word160_26_delta,sgd_huber,1.475,32.81851747439062,32.966712482938256,31.83492452607073,47.05755841525498,0.7540431286478123,21.514660486830195,69.51419847453928,92.29963779096498,0.6185276505811905,0.8608665022895385,-2.1339329307521795,0.47587178584008455,0.5241282141599155,2839,0.40471134859251007,"[0.282260125627008, 0.5053023419115374]","[30.543207534326605, 33.09633707713198]",0.04025852607072977,-0.19390647392926752,"{""model"": ""sgd_huber"", ""residual_oof_mae"": 32.83464348069637}"
pls_hs_word160_30_delta,sgd_huber,1.3250000000000002,32.83739150730438,32.966712482938256,31.835514030953128,47.046787863270666,0.7541557051688002,21.544495014780466,69.44448167002831,92.2795672269997,0.6192321239873195,0.8608665022895385,-1.938814109387238,0.4712927087002466,0.5287072912997535,2839,0.40412184371011567,"[0.31812035063746547, 0.5058392951228057]","[30.791332735599912, 33.35305855946]",0.0408480309531285,-0.1933169690468688,"{""model"": ""sgd_huber"", ""residual_oof_mae"": 32.84593991182263}"
pls_hs_raw_word160_20_geom,sgd_huber,1.2750000000000001,32.76385947374925,32.966712482938256,31.835855979473266,47.03000146745147,0.7543311094247616,21.239676031206784,68.89412541703302,91.9229478883125,0.6167664670658682,0.8622754491017964,-2.2644647150299106,0.4779852060584713,0.5220147939415287,2839,0.4037798951899806,"[0.24458244564391896, 0.5618138091370894]","[30.733960282352907, 33.144280307798496]",0.04118997947326619,-0.1929750205267311,"{""model"": ""sgd_huber"", ""residual_oof_mae"": 32.774929520585566}"
pls_raw_word160_18_delta,sgd_huber,1.6,32.815436109827644,32.966712482938256,31.83626401835469,47.154367010939374,0.7530301040755368,21.44833202523658,69.73628620309304,93.35342435998386,0.6224022543148996,0.8622754491017964,-2.774668320029206,0.4804508629799225,0.5195491370200775,2839,0.40337185630855005,"[0.26465120665965364, 0.5341456197018191]","[30.48440672120945, 33.086266007519924]",0.04159801835469068,-0.1925669816453066,"{""model"": ""sgd_huber"", ""residual_oof_mae"": 32.84207397818079}"
pls_hs_word160_22_geom,sgd_huber,1.2750000000000001,32.78626561838795,32.966712482938256,31.837498132100254,46.995326114211394,0.754693240612542,21.55360281190201,69.09443005165382,92.56852371731473,0.6174709404719971,0.8601620288834096,-1.9091147406325273,0.476224022543149,0.523775977456851,2839,0.40213774256299023,"[0.28410349912536526, 0.5282787249551469]","[30.628748302610212, 33.05160574267272]",0.04283213210025494,-0.19133286789974235,"{""model"": ""sgd_huber"", ""residual_oof_mae"": 32.7951281309743}"
